movie,genre,runtime,certificate,rating,stars,description,votes,director
The Color Purple,Drama            ,154 min,U,7.7,"['Danny Glover, ', 'Whoopi Goldberg, ', 'Oprah Winfrey, ', 'Margaret Avery', '']",A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,$98.47M,['Steven Spielberg']
Sirf Ek Bandaa Kaafi Hai,Drama            ,132 min,UA,7.9,"['Manoj Bajpayee, ', 'Surya Mohan Kulshreshtha, ', 'Jai Hind Kumar, ', 'Nikhil Pandey', '']",A common man with honesty and integrity can take on the system when he has truth on his side.,"22,902",['Apoorv Singh Karki']
Pose,Drama            ,60 min,18,8.7,"['Michaela Jaé (MJ) Rodriguez, ', 'Dominique Jackson, ', 'Indya Moore, ', 'Angel Bismark Curiel', '']","In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.","31,163",
Tell Me Lies,Drama            ,49 min,A,6.7,"['Grace Van Patten, ', 'Jackson White, ', 'Catherine Missal, ', 'Spencer House', '']",The story of a young woman's obsession with a man who is good at being charming.,"5,424",
Term of Trial,Drama            ,130 min,,7.1,"['Laurence Olivier, ', 'Simone Signoret, ', 'Roland Culver, ', 'Frank Pettingell', '']","A British high-school girl becomes infatuated with her English teacher, but after he rejects her amorous advances, she goes to the police and accuses him of indecent assault.",782,['Peter Glenville']
"Paris, Texas",Drama            ,145 min,U,8.1,"['Harry Dean Stanton, ', 'Nastassja Kinski, ', 'Dean Stockwell, ', 'Sam Berry', '']","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",$2.18M,['Wim Wenders']
Gifted,Drama            ,101 min,15+,7.6,"['Chris Evans, ', 'Mckenna Grace, ', 'Lindsay Duncan, ', 'Octavia Spencer', '']","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",$24.80M,['Marc Webb']
I-sang-han byeon-ho-sa U-yeong-u,Drama            ,75 min,UA 16+,8.7,"['Park Eun-bin, ', 'Kang Tae-oh, ', 'Kang Ki-young, ', 'Jeon Bae-soo', '']","Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.","21,117",
Gran Torino,Drama            ,116 min,UA,8.1,"['Clint Eastwood, ', 'Bee Vang, ', 'Christopher Carley, ', 'Ahney Her', '']","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",$148.10M,['Clint Eastwood']
Nymphomaniac: Vol. II,Drama            ,124 min,Not Rated,6.6,"['Charlotte Gainsbourg, ', 'Stellan Skarsgård, ', 'Willem Dafoe, ', 'Jamie Bell', '']","The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care.",$0.33M,['Lars von Trier']
The Lost Flowers of Alice Hart,Drama            ,,,,"['Frankie Adams, ', 'Asher Keddie, ', 'Sigourney Weaver, ', 'Alyla Browne', '']","Follows a young girl, Alice Hart, whose violent childhood casts a dark shadow over her adult life.",,
Nomadland,Drama            ,107 min,UA,7.3,"['Frances McDormand, ', 'David Strathairn, ', 'Linda May, ', 'Gay DeForest', '']","A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","1,72,620",['Chloé Zhao']
Cry Macho,Drama            ,104 min,13,5.7,"['Clint Eastwood, ', 'Dwight Yoakam, ', 'Daniel V. Graulau, ', 'Amber Lynn Ashley', '']","A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man.","30,390",['Clint Eastwood']
The Deuce,Drama            ,60 min,A,8.1,"['James Franco, ', 'Maggie Gyllenhaal, ', 'Lawrence Gilliard Jr., ', 'Margarita Levieva', '']","A look at life in New York City during the 1970s and '80s, when porn and prostitution were rampant in Manhattan.","30,624",
Palmer,Drama            ,110 min,A,7.2,"['Justin Timberlake, ', 'Juno Temple, ', 'Alisha Wainwright, ', 'Ryder Allen', '']",An ex-convict strikes up a friendship with a boy from a troubled home.,"39,355",['Fisher Stevens']
Bel-Air,Drama            ,51 min,,6.4,"['Jabari Banks, ', 'Cassandra Freeman, ', 'Jimmy Akingbola, ', 'Olly Sholotan', '']",The journey of a street-smart teen whose life is forever transformed when he moves from the streets of West Philadelphia to live with his relatives in one of LA's wealthiest suburbs.,"12,116",
Norma Rae,Drama            ,114 min,A,7.3,"['Sally Field, ', 'Beau Bridges, ', 'Ron Leibman, ', 'Pat Hingle', '']",A young single mother and textile worker agrees to help unionize her mill despite the problems and dangers involved.,$22.23M,['Martin Ritt']
Everwood,Drama            ,60 min,,7.5,"['Treat Williams, ', 'Gregory Smith, ', 'Emily VanCamp, ', 'Debra Mooney', '']","A widowed brain surgeon from Manhattan moves his two children to the small mountain town of Everwood, Colorado.","14,759",
Half Nelson,Drama            ,106 min,A,7.1,"['Ryan Gosling, ', 'Anthony Mackie, ', 'Shareeka Epps, ', 'Jeff Lima', '']",An inner-city junior high school teacher with a drug habit forms an unlikely friendship with one of his students after she discovers his secret.,$2.69M,['Ryan Fleck']
Philadelphia,Drama            ,125 min,UA,7.7,"['Tom Hanks, ', 'Denzel Washington, ', 'Roberta Maxwell, ', 'Buzz Kilman', '']","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",$77.32M,['Jonathan Demme']
Aspirants,Drama            ,45 min,Not Rated,9.2,"['Naveen Kasturia, ', 'Shivankit Singh Parihar, ', 'Abhilash Thapliyal, ', 'Sunny Hinduja', '']",It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,"3,03,498",
The Room,Drama            ,99 min,UA,3.6,"['Tommy Wiseau, ', 'Juliette Danielle, ', 'Greg Sestero, ', 'Philip Haldiman', '']","In San Francisco, an amiable banker's seemingly perfect life is turned upside down when his deceitful fiancée embarks on an affair with his best friend.",$0.56M,['Tommy Wiseau']
Lessons in Chemistry,Drama            ,,,,"['Brie Larson, ', 'Joy Jacobson, ', 'Yasir Hashim Lafond, ', 'Hero Hunter', '']","Set in the early 1960s, Elizabeth Zott's dream of being a chemist is put on hold when she finds herself pregnant, alone, and fired from her lab.",,
The Lost Daughter,Drama            ,121 min,18,6.7,"['Olivia Colman, ', 'Jessie Buckley, ', 'Dakota Johnson, ', 'Ed Harris', '']",A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,"70,663",['Maggie Gyllenhaal']
To Leslie,Drama            ,119 min,R,7.1,"['Andrea Riseborough, ', 'Drew Youngblood, ', 'Tom Virtue, ', 'Lauren Letherer', '']","Inspired by true events. A West Texas single mother wins the lottery and squanders it just as fast, leaving behind a world of heartbreak. Years later, with her charm running out and nowhere to go, she fights to rebuild her life and find redemption.","13,657",['Michael Morris']
Halt and Catch Fire,Drama            ,60 min,,8.4,"['Lee Pace, ', 'Scoot McNairy, ', 'Mackenzie Davis, ', 'Kerry Bishé', '']",Follows some players in the 80s technological revolution that lead to information society.,"33,987",
Network,Drama            ,121 min,UA,8.1,"['Faye Dunaway, ', 'William Holden, ', 'Peter Finch, ', 'Robert Duvall', '']","A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.","1,64,739",['Sidney Lumet']
Monamour,Drama            ,104 min,,5.2,"['Anna Jimskaia, ', 'Riccardo Marino, ', 'Max Parodi, ', 'Nela Lucic', '']","A neglected homemaker has an affair behind her boring husband's back, triggering a passionate transformation. Now, a dash of infidelity awakens his dormant enthusiasm for her. But is his newfound interest a case of too little, too late?","5,952",['Tinto Brass']
Fried Green Tomatoes,Drama            ,130 min,U,7.7,"['Kathy Bates, ', 'Jessica Tandy, ', 'Mary Stuart Masterson, ', 'Mary-Louise Parker', '']",A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.,$82.42M,['Jon Avnet']
Industry,Drama            ,50 min,A,7.2,"[""Myha'la Herrold, "", 'Marisa Abela, ', 'Harry Lawtey, ', 'Ken Leung', '']",Young bankers and traders make their way in the financial world in the aftermath of the 2008 collapse.,"11,482",
Armageddon Time,Drama            ,114 min,R,6.5,"['Anne Hathaway, ', 'Jeremy Strong, ', 'Banks Repeta, ', 'Jaylin Webb', '']",A deeply personal coming-of-age story about the strength of family and the generational pursuit of the American Dream.,"13,047",['James Gray']
Harlots,Drama            ,45 min,18,7.7,"['Lesley Manville, ', 'Kate Fleetwood, ', 'Holli Dempsey, ', 'Eloise Smyth', '']",Brothel owner Margaret Wells struggles to raise her daughters in London during the 18th century.,"9,874",
Locke,Drama            ,85 min,R,7.1,"['Tom Hardy, ', 'Olivia Colman, ', 'Ruth Wilson, ', 'Andrew Scott', '']","Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.",$1.36M,['Steven Knight']
Le otto montagne,Drama            ,147 min,,7.7,"['Lupo Barbiero, ', 'Cristiano Sassella, ', 'Elena Lietti, ', 'Chiara Jorrioz', '']","An epic journey of friendship and self-discovery set in the breathtaking Italian Alps, The Eight Mountains follows over four decades the profound, complex relationship between Pietro and Bruno.","8,464",
Dynasty,Drama            ,42 min,13,7.3,"['Elizabeth Gillies, ', 'Rafael de la Fuente, ', 'Robert Christopher Riley, ', 'Sam Adegoke', '']",Follows two of America's wealthiest families as they feud for control over their fortune and their children.,"23,980",
Heat,Drama            ,60 min,,5.3,"['Danny Dyer, ', 'Darren McMullen, ', 'Pia Miranda, ', 'Jane Allsop', '']","It centers on two families as they go to a secluded home for a vacation. Secrets and lies unravel, and not everyone will make it out alive",136,
Inventing Anna,Drama            ,65 min,18,6.8,"['Anna Chlumsky, ', 'Julia Garner, ', 'Arian Moayed, ', 'Katie Lowes', '']","A journalist with a lot to prove investigates the case of Anna Delvey, the Instagram-legendary German heiress who stole the hearts of New York's social scene - and stole their money as well.","74,064",
Carol,Drama            ,118 min,18,7.2,"['Cate Blanchett, ', 'Rooney Mara, ', 'Sarah Paulson, ', 'Kyle Chandler', '']",An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,$12.71M,['Todd Haynes']
Palitan,Drama            ,107 min,,5.3,"['Cara Gonzales, ', 'Jela Cuenca, ', 'Luis Hontiveros, ', 'Rash Flores', '']","When a dare pushes two couples into an orgy, suppressed feelings rekindle between the two ladies, who were once bestfriends and lovers.",203,['Brillante Mendoza']
Madre de alquiler,Drama            ,45 min,UA 16+,5.9,"['Shani Lozano, ', 'Marcela Guirado, ', 'Leticia Calderón, ', 'Luis Ernesto Franco', '']","A woman rents her womb to a powerful family of Mexican businessmen to save her father's life. After her delivery, she wakes up in a hospital where she is given a baby who was born with a ...                See full summary »
",393,
L'amica geniale,Drama            ,60 min,,8.6,"['Alba Rohrwacher, ', 'Margherita Mazzucco, ', 'Gaia Girace, ', 'Annarita Vitolo', '']",A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,"16,579",
Mud,Drama            ,130 min,UA,7.4,"['Matthew McConaughey, ', 'Tye Sheridan, ', 'Jacob Lofland, ', 'Sam Shepard', '']",Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,$21.59M,['Jeff Nichols']
Causeway,Drama            ,94 min,A,6.6,"['Jennifer Lawrence, ', 'Brian Tyree Henry, ', 'Linda Emond, ', 'Danny Wolohan', '']",A US soldier suffers a traumatic brain injury while fighting in Afghanistan and struggles to adjust to life back home.,"19,708",['Lila Neugebauer']
Precious,Drama            ,110 min,R,7.3,"['Gabourey Sidibe, ', ""Mo'Nique, "", 'Paula Patton, ', 'Mariah Carey', '']","In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction.",$47.57M,['Lee Daniels']
The Deep End of the Ocean,Drama            ,106 min,UA,6.3,"['Michelle Pfeiffer, ', 'Treat Williams, ', 'Whoopi Goldberg, ', 'Jonathan Jackson', '']","A film about a family's reaction when Ben, the youngest son, is kidnapped and then found nine years later, living in the same town, where his family had just moved.",$13.38M,['Ulu Grosbard']
L'uomo che disegnò Dio,Drama            ,100 min,,5.6,"['Kevin Spacey, ', 'Faye Dunaway, ', 'Franco Nero, ', 'Robert Davi', '']","The rise and fall of a blind artist who has the extraordinary gift of making true-to-life portraits just by listening to human voices, and of becoming a TV-junk star. A fable on the need to...                See full summary »
",279,['Franco Nero']
Mignonnes,Drama            ,96 min,18+,3.6,"['Fathia Youssouf, ', 'Médina El Aidi-Azouni, ', 'Esther Gohourou, ', 'Ilanah Cami-Goursolas', '']","Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.","32,016",['Maïmouna Doucouré']
